symbol,instrument_key
DHANUKA.NS,NSE_EQ|INE435G01025
DBL.NS,NSE_EQ|INE917M01012
DCAL.NS,NSE_EQ|INE385W01011
DIVISLAB.NS,NSE_EQ|INE361B01024
DIXON.NS,NSE_EQ|INE935N01020
DODLA.NS,NSE_EQ|INE021O01019
LALPATHLAB.NS,NSE_EQ|INE600L01024
DRREDDY.NS,NSE_EQ|INE089A01031
DREAMFOLKS.NS,NSE_EQ|INE0JS101016
DYNAMATECH.NS,NSE_EQ|INE221B01012
EIDPARRY.NS,NSE_EQ|INE126A01031
EIHOTEL.NS,NSE_EQ|INE230A01023
EPL.NS,NSE_EQ|INE255A01020
ESAFSFB.NS,NSE_EQ|INE818W01011
EASEMYTRIP.NS,NSE_EQ|INE07O001026
EDELWEISS.NS,NSE_EQ|INE532F01054
EICHERMOT.NS,NSE_EQ|INE066A01021
ELECON.NS,NSE_EQ|INE205B01031
EMIL.NS,NSE_EQ|INE02YR01019
ELECTCAST.NS,NSE_EQ|INE086A01029
ELGIEQUIP.NS,NSE_EQ|INE285A01027
EMAMILTD.NS,NSE_EQ|INE548C01032
EMCURE.NS,NSE_EQ|INE168P01015
ENDURANCE.NS,NSE_EQ|INE913H01037
ENGINERSIN.NS,NSE_EQ|INE510A01028
ENTERO.NS,NSE_EQ|INE010601016
EPIGRAL.NS,NSE_EQ|INE071N01016
EMBDL.NS,NSE_EQ|INE069I01010
EQUITASBNK.NS,NSE_EQ|INE063P01018
ERIS.NS,NSE_EQ|INE406M01024
ESCORTS.NS,NSE_EQ|INE042A01014
ETHOSLTD.NS,NSE_EQ|INE04TZ01018
EVEREADY.NS,NSE_EQ|INE128A01029
EXIDEIND.NS,NSE_EQ|INE302A01020
FDC.NS,NSE_EQ|INE258B01022
NYKAA.NS,NSE_EQ|INE388Y01029
FEDERALBNK.NS,NSE_EQ|INE171A01029
FACT.NS,NSE_EQ|INE188A01015
FIEMIND.NS,NSE_EQ|INE737H01014
FINEORG.NS,NSE_EQ|INE686Y01026
FCL.NS,NSE_EQ|INE045J01026
FINCABLES.NS,NSE_EQ|INE235A01022
FINPIPE.NS,NSE_EQ|INE183A01024
FSL.NS,NSE_EQ|INE684F01012
FIVESTAR.NS,NSE_EQ|INE128S01021
FORCEMOT.NS,NSE_EQ|INE451A01017
FORTIS.NS,NSE_EQ|INE061F01013
FUSION.NS,NSE_EQ|INE139R01012
GRINFRA.NS,NSE_EQ|INE201P01022
GAIL.NS,NSE_EQ|INE129A01019
GVT&D.NS,NSE_EQ|INE200A01026
GHCL.NS,NSE_EQ|INE539A01019
GMMPFAUDLR.NS,NSE_EQ|INE541A01023
GMRAIRPORT.NS,NSE_EQ|INE776C01039
GABRIEL.NS,NSE_EQ|INE524A01029
GANESHHOUC.NS,NSE_EQ|INE460C01014
GRSE.NS,NSE_EQ|INE382Z01011
GRWRHITECH.NS,NSE_EQ|INE291A01017
GATEWAY.NS,NSE_EQ|INE079J01017
GICRE.NS,NSE_EQ|INE481Y01014
GILLETTE.NS,NSE_EQ|INE322A01010
GLAND.NS,NSE_EQ|INE068V01023
GLAXO.NS,NSE_EQ|INE159A01016
GLENMARK.NS,NSE_EQ|INE935A01035
MEDANTA.NS,NSE_EQ|INE474Q01031
GODIGIT.NS,NSE_EQ|INE03JT01014
GOCOLORS.NS,NSE_EQ|INE0BJS01011
GPIL.NS,NSE_EQ|INE177H01039
GODFRYPHLP.NS,NSE_EQ|INE260B01028
GODREJAGRO.NS,NSE_EQ|INE850D01014
GODREJCP.NS,NSE_EQ|INE102D01028
GODREJIND.NS,NSE_EQ|INE233A01035
GODREJPROP.NS,NSE_EQ|INE484J01027
GOKEX.NS,NSE_EQ|INE887G01027
GOPAL.NS,NSE_EQ|INE0L9R01028
GRANULES.NS,NSE_EQ|INE101D01020
GRAPHITE.NS,NSE_EQ|INE371A01025
GRASIM.NS,NSE_EQ|INE047A01021
GRAVITA.NS,NSE_EQ|INE024L01027
GESHIP.NS,NSE_EQ|INE017A01032
GREAVESCOT.NS,NSE_EQ|INE224A01026
GREENPANEL.NS,NSE_EQ|INE08ZM01014
GREENPLY.NS,NSE_EQ|INE461C01038
GRINDWELL.NS,NSE_EQ|INE536A01023
GUJALKALI.NS,NSE_EQ|INE186A01019
GAEL.NS,NSE_EQ|INE036B01030
FLUOROCHEM.NS,NSE_EQ|INE09N301011
GUJGASLTD.NS,NSE_EQ|INE844O01030
GMDCLTD.NS,NSE_EQ|INE131A01031
GNFC.NS,NSE_EQ|INE113A01013
GPPL.NS,NSE_EQ|INE517F01014
GSFC.NS,NSE_EQ|INE026A01025
GSPL.NS,NSE_EQ|INE246F01010
GULFOILLUB.NS,NSE_EQ|INE635Q01029
HEG.NS,NSE_EQ|INE545A01024
HGINFRA.NS,NSE_EQ|INE926X01010
HBLENGINE.NS,NSE_EQ|INE292B01021
HCLTECH.NS,NSE_EQ|INE860A01027
HDFCAMC.NS,NSE_EQ|INE127D01025
HDFCBANK.NS,NSE_EQ|INE040A01034
HDFCLIFE.NS,NSE_EQ|INE795G01014
HFCL.NS,NSE_EQ|INE548A01028
HAPPSTMNDS.NS,NSE_EQ|INE419U01012
HAPPYFORGE.NS,NSE_EQ|INE330T01021
HARSHA.NS,NSE_EQ|INE0JUS01029
HATHWAY.NS,NSE_EQ|INE982F01036
HAVELLS.NS,NSE_EQ|INE176B01034
HCG.NS,NSE_EQ|INE075I01017
HEIDELBERG.NS,NSE_EQ|INE578A01017
HEMIPROP.NS,NSE_EQ|INE0AJG01018
HERITGFOOD.NS,NSE_EQ|INE978A01027
HEROMOTOCO.NS,NSE_EQ|INE158A01026
HIKAL.NS,NSE_EQ|INE475B01022
HSCL.NS,NSE_EQ|INE019C01026
HINDALCO.NS,NSE_EQ|INE038A01020
HAL.NS,NSE_EQ|INE066F01020
HCC.NS,NSE_EQ|INE549A01026
HINDCOPPER.NS,NSE_EQ|INE531E01026
HNDFDS.NS,NSE_EQ|INE254N01026
HINDOILEXP.NS,NSE_EQ|INE345A01011
HINDPETRO.NS,NSE_EQ|INE094A01015
HINDUNILVR.NS,NSE_EQ|INE030A01027
HINDZINC.NS,NSE_EQ|INE267A01025
HINDWAREAP.NS,NSE_EQ|INE05AN01011
POWERINDIA.NS,NSE_EQ|INE07Y701011
HOMEFIRST.NS,NSE_EQ|INE481N01025
HONASA.NS,NSE_EQ|INE0J5401028
HONAUT.NS,NSE_EQ|INE671A01010
HUDCO.NS,NSE_EQ|INE031A01017
ICICIBANK.NS,NSE_EQ|INE090A01021
ICICIGI.NS,NSE_EQ|INE765G01017
ICICIPRULI.NS,NSE_EQ|INE726G01019
IDBI.NS,NSE_EQ|INE008A01015
IDFCFIRSTB.NS,NSE_EQ|INE092T01019
IFBIND.NS,NSE_EQ|INE559A01017
IFCI.NS,NSE_EQ|INE039A01010
IIFLCAPS.NS,NSE_EQ|INE489L01022
IIFL.NS,NSE_EQ|INE530B01024
INOXINDIA.NS,NSE_EQ|INE616N01034
IRB.NS,NSE_EQ|INE821I01022
IRCON.NS,NSE_EQ|INE962Y01021
ITC.NS,NSE_EQ|INE154A01025
ITDCEM.NS,NSE_EQ|INE686A01026
ITI.NS,NSE_EQ|INE248A01017
IDEAFORGE.NS,NSE_EQ|INE349Y01013
IMAGICAA.NS,NSE_EQ|INE172N01012
INDGN.NS,NSE_EQ|INE065X01017
INDIACEM.NS,NSE_EQ|INE383A01012
INDIAGLYCO.NS,NSE_EQ|INE560A01015
IPL.NS,NSE_EQ|INE0D6701023
INDIASHLTR.NS,NSE_EQ|INE922K01024
INDIAMART.NS,NSE_EQ|INE933S01016
INDIANB.NS,NSE_EQ|INE562A01011
IEX.NS,NSE_EQ|INE022Q01020
